Municipio,Delitos,Año,Periodo Trimestral,Trimestre,Provincia,Total,Valor trimestral,Poblacion
Sant Adrià de Besòs,Sustraccion De Vehiculos,2019,Enero-Junio,2,Barcelona,59,29.0,37097
Sant Adrià de Besòs,Sustraccion De Vehiculos,2019,Enero-Septiembre,3,Barcelona,96,37.0,37097
Sant Adrià de Besòs,Sustraccion De Vehiculos,2019,Enero-Diciembre,4,Barcelona,130,34.0,37097
Sant Adrià de Besòs,Sustraccion De Vehiculos,2020,Enero-Marzo,1,Barcelona,14,14.0,37447
Sant Adrià de Besòs,Sustraccion De Vehiculos,2020,Enero-Junio,2,Barcelona,24,10.0,37447
Sant Adrià de Besòs,Sustraccion De Vehiculos,2020,Enero-Septiembre,3,Barcelona,47,23.0,37447
Sant Adrià de Besòs,Sustraccion De Vehiculos,2020,Enero-Diciembre,4,Barcelona,65,18.0,37447
Sant Adrià de Besòs,Sustraccion De Vehiculos,2021,Enero-Marzo,1,Barcelona,21,21.0,37283
Sant Adrià de Besòs,Sustraccion De Vehiculos,2021,Enero-Junio,2,Barcelona,36,15.0,37283
Sant Adrià de Besòs,Sustraccion De Vehiculos,2021,Enero-Septiembre,3,Barcelona,62,26.0,37283
Sant Adrià de Besòs,Sustraccion De Vehiculos,2021,Enero-Diciembre,4,Barcelona,86,24.0,37283
Sant Adrià de Besòs,Sustraccion De Vehiculos,2022,Enero-Marzo,1,Barcelona,12,12.0,36918
Sant Adrià de Besòs,Sustraccion De Vehiculos,2022,Enero-Junio,2,Barcelona,29,17.0,36918
Sant Adrià de Besòs,Sustraccion De Vehiculos,2022,Enero-Septiembre,3,Barcelona,48,19.0,36918
Sant Adrià de Besòs,Sustraccion De Vehiculos,2022,Enero-Diciembre,4,Barcelona,65,17.0,36918
Sant Adrià de Besòs,Sustraccion De Vehiculos,2023,Enero-Marzo,1,Barcelona,22,22.0,37925
Sant Adrià de Besòs,Sustraccion De Vehiculos,2023,Enero-Junio,2,Barcelona,38,16.0,37925
Sant Adrià de Besòs,Sustraccion De Vehiculos,2023,Enero-Septiembre,3,Barcelona,54,16.0,37925
Sant Adrià de Besòs,Sustraccion De Vehiculos,2023,Enero-Diciembre,4,Barcelona,75,21.0,37925
Sant Adrià de Besòs,Sustraccion De Vehiculos,2024,Enero-Marzo,1,Barcelona,16,16.0,38490
Sant Adrià de Besòs,Sustraccion De Vehiculos,2024,Enero-Junio,2,Barcelona,28,12.0,38490
Sant Adrià de Besòs,Sustraccion De Vehiculos,2024,Enero-Septiembre,3,Barcelona,49,21.0,38490
Sant Adrià de Besòs,Sustraccion De Vehiculos,2024,Enero-Diciembre,4,Barcelona,68,19.0,38490
Sant Adrià de Besòs,Sustraccion De Vehiculos,2025,Enero-Marzo,1,Barcelona,13,13.0,39323
Sant Adrià de Besòs,Sustraccion De Vehiculos,2025,Enero-Junio,2,Barcelona,25,12.0,39323
Sant Adrià de Besòs,Sustraccion De Vehiculos,2025,Enero-Septiembre,3,Barcelona,64,39.0,39323
Sant Adrià de Besòs,Trafico De Drogas,2017,Enero-Marzo,1,Barcelona,6,6.0,36624
Sant Adrià de Besòs,Trafico De Drogas,2017,Enero-Junio,2,Barcelona,10,4.0,36624
Sant Adrià de Besòs,Trafico De Drogas,2017,Enero-Septiembre,3,Barcelona,19,9.0,36624
Sant Adrià de Besòs,Trafico De Drogas,2017,Enero-Diciembre,4,Barcelona,27,8.0,36624
Sant Adrià de Besòs,Trafico De Drogas,2018,Enero-Marzo,1,Barcelona,18,18.0,36669
Sant Adrià de Besòs,Trafico De Drogas,2018,Enero-Junio,2,Barcelona,28,10.0,36669
Sant Adrià de Besòs,Trafico De Drogas,2018,Enero-Septiembre,3,Barcelona,39,11.0,36669
Sant Adrià de Besòs,Trafico De Drogas,2018,Enero-Diciembre,4,Barcelona,46,7.0,36669
Sant Adrià de Besòs,Trafico De Drogas,2019,Enero-Marzo,1,Barcelona,11,11.0,37097
Sant Adrià de Besòs,Trafico De Drogas,2019,Enero-Junio,2,Barcelona,20,9.0,37097
Sant Adrià de Besòs,Trafico De Drogas,2019,Enero-Septiembre,3,Barcelona,26,6.0,37097
Sant Adrià de Besòs,Trafico De Drogas,2019,Enero-Diciembre,4,Barcelona,31,5.0,37097
Sant Adrià de Besòs,Trafico De Drogas,2020,Enero-Marzo,1,Barcelona,11,11.0,37447
Sant Adrià de Besòs,Trafico De Drogas,2020,Enero-Junio,2,Barcelona,25,14.0,37447
Sant Adrià de Besòs,Trafico De Drogas,2020,Enero-Septiembre,3,Barcelona,35,10.0,37447
Sant Adrià de Besòs,Trafico De Drogas,2020,Enero-Diciembre,4,Barcelona,43,8.0,37447
Sant Adrià de Besòs,Trafico De Drogas,2021,Enero-Marzo,1,Barcelona,9,9.0,37283
Sant Adrià de Besòs,Trafico De Drogas,2021,Enero-Junio,2,Barcelona,12,3.0,37283
Sant Adrià de Besòs,Trafico De Drogas,2021,Enero-Septiembre,3,Barcelona,22,10.0,37283
Sant Adrià de Besòs,Trafico De Drogas,2021,Enero-Diciembre,4,Barcelona,25,3.0,37283
Sant Adrià de Besòs,Trafico De Drogas,2022,Enero-Marzo,1,Barcelona,8,8.0,36918
Sant Adrià de Besòs,Trafico De Drogas,2022,Enero-Junio,2,Barcelona,17,9.0,36918
Sant Adrià de Besòs,Trafico De Drogas,2022,Enero-Septiembre,3,Barcelona,30,13.0,36918
Sant Adrià de Besòs,Trafico De Drogas,2022,Enero-Diciembre,4,Barcelona,36,6.0,36918
Sant Adrià de Besòs,Trafico De Drogas,2023,Enero-Marzo,1,Barcelona,8,8.0,37925
Sant Adrià de Besòs,Trafico De Drogas,2023,Enero-Junio,2,Barcelona,28,20.0,37925
Sant Adrià de Besòs,Trafico De Drogas,2023,Enero-Septiembre,3,Barcelona,35,7.0,37925
Sant Adrià de Besòs,Trafico De Drogas,2023,Enero-Diciembre,4,Barcelona,43,8.0,37925
Sant Adrià de Besòs,Trafico De Drogas,2024,Enero-Marzo,1,Barcelona,7,7.0,38490
Sant Adrià de Besòs,Trafico De Drogas,2024,Enero-Junio,2,Barcelona,18,11.0,38490
Sant Adrià de Besòs,Trafico De Drogas,2024,Enero-Septiembre,3,Barcelona,27,9.0,38490
Sant Adrià de Besòs,Trafico De Drogas,2024,Enero-Diciembre,4,Barcelona,32,5.0,38490
Sant Adrià de Besòs,Trafico De Drogas,2025,Enero-Marzo,1,Barcelona,5,5.0,39323
Sant Adrià de Besòs,Trafico De Drogas,2025,Enero-Junio,2,Barcelona,15,10.0,39323
Sant Adrià de Besòs,Trafico De Drogas,2025,Enero-Septiembre,3,Barcelona,29,14.0,39323
Sant Andreu de la Barca,Delitos Sexuales,2021,Enero-Marzo,1,Barcelona,1,1.0,27175
Sant Andreu de la Barca,Delitos Sexuales,2021,Enero-Junio,2,Barcelona,3,2.0,27175
Sant Andreu de la Barca,Delitos Sexuales,2021,Enero-Septiembre,3,Barcelona,4,1.0,27175
Sant Andreu de la Barca,Delitos Sexuales,2021,Enero-Diciembre,4,Barcelona,7,3.0,27175
Sant Andreu de la Barca,Delitos Sexuales,2022,Enero-Marzo,1,Barcelona,4,4.0,26965
Sant Andreu de la Barca,Delitos Sexuales,2022,Enero-Junio,2,Barcelona,4,0.0,26965
Sant Andreu de la Barca,Delitos Sexuales,2022,Enero-Septiembre,3,Barcelona,8,4.0,26965
Sant Andreu de la Barca,Delitos Sexuales,2022,Enero-Diciembre,4,Barcelona,11,3.0,26965
Sant Andreu de la Barca,Delitos Sexuales,2023,Enero-Marzo,1,Barcelona,5,5.0,26910
